# Light Pollution Monitoring Data Format 1.0
# URL: http://www.darksky.org/measurements
# Number of header lines: 42
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LU-DL-R2
# Instrument ID: 
# Data supplier: 
# Location name: Karskov
# Position (lat, lon, elev(m)): 37, 54, 0
# Local timezone: Europe/Copenhagen
# Time Synchronization: EUROPE/BERLIN
# Moving / Stationary position: STATIONARY
# Moving / Fixed look direction: FIXED
# Number of channels: 1
# Filters per channel: 
# Measurement direction per channel: 
# Field of view (degrees): 
# Number of fields per line: 6
# SQM serial number: 7109
# SQM hardware identity: B003BNCX
# SQM firmware version: 4-6-82
# SQM cover offset value: 
# SQM readout test ix (Information): i,00000004,00000006,00000082,00007109
# SQM readout test rx (Reading): r, 08.75m,0000029620Hz,0000000000c,0000000.000s, 022.8C
# SQM readout test cx (Calibration): c,00000019.93m,0000167.535s, 019.3C,00000008.71m, 018.6C
# SQM readout test Ix (Report Interval): 0000000000s,0000000000s,00000000.00m,00000000.00m
# DL time difference (seconds): -1
# DL retrieved at (UTC): 2024-06-12T15:06:36.405
# DL trigger seconds : 0
# DL trigger minutes : 5
# DL trigger threshold : 0
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# UDM version: 1.0.0.344
# UDM setting: Logged continuously every 1 minute on the minute,Threshold = 0 mpsas.
# blank line
# UTC Date & Time, Local Date & Time, Temperature, Counts, Frequency, MSAS
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;number;Hz;mag/arcsec^2
# END OF HEADER
2024-06-12T15:06:36.486;2024-06-12T17:06:36.486;22.8;0;29620;8.75
2024-06-12T15:07:00.061;2024-06-12T17:07:00.061;22.8;0;12347;9.70
2024-06-12T15:08:00.079;2024-06-12T17:08:00.079;23.2;0;32419;8.65
2024-06-12T15:09:00.065;2024-06-12T17:09:00.065;;;;
2024-06-12T15:10:00.064;2024-06-12T17:10:00.064;;;;
2024-06-12T15:11:00.073;2024-06-12T17:11:00.073;;;;
2024-06-12T15:12:00.066;2024-06-12T17:12:00.066;;;;
2024-06-12T15:13:00.068;2024-06-12T17:13:00.068;;;;
2024-06-12T15:14:00.055;2024-06-12T17:14:00.055;;;;
2024-06-12T15:15:00.053;2024-06-12T17:15:00.053;;;;
2024-06-12T15:16:00.054;2024-06-12T17:16:00.054;;;;
2024-06-12T15:17:00.047;2024-06-12T17:17:00.047;;;;
2024-06-12T15:18:00.057;2024-06-12T17:18:00.057;;;;
2024-06-12T15:19:00.060;2024-06-12T17:19:00.060;;;;
2024-06-12T15:20:00.062;2024-06-12T17:20:00.062;;;;
2024-06-12T15:21:00.074;2024-06-12T17:21:00.074;;;;
2024-06-12T15:22:00.058;2024-06-12T17:22:00.058;;;;
2024-06-12T15:23:00.074;2024-06-12T17:23:00.074;;;;
2024-06-12T15:24:00.069;2024-06-12T17:24:00.069;;;;
2024-06-12T15:25:00.075;2024-06-12T17:25:00.075;;;;
2024-06-12T15:26:00.069;2024-06-12T17:26:00.069;;;;
2024-06-12T15:27:00.067;2024-06-12T17:27:00.067;;;;
2024-06-12T15:28:00.069;2024-06-12T17:28:00.069;;;;
