# Light Pollution Monitoring Data Format 1.0
# URL: http://www.darksky.org/measurements
# Number of header lines: 42
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LU-DL-R2
# Instrument ID: 
# Data supplier: 
# Location name: Karskov
# Position (lat, lon, elev(m)): 37, 54, 0
# Local timezone: Europe/Copenhagen
# Time Synchronization: EUROPE/BERLIN
# Moving / Stationary position: STATIONARY
# Moving / Fixed look direction: FIXED
# Number of channels: 1
# Filters per channel: 
# Measurement direction per channel: 
# Field of view (degrees): 
# Number of fields per line: 6
# SQM serial number: 0
# SQM hardware identity: B003BNCX
# SQM firmware version: 0-0-0
# SQM cover offset value: 
# SQM readout test ix (Information): 
# SQM readout test rx (Reading): 
# SQM readout test cx (Calibration): 
# SQM readout test Ix (Report Interval): 
# DL time difference: ???
# DL retrieved at (UTC): 2024-06-12T22:02:06.634
# DL trigger seconds : 0
# DL trigger minutes : 0
# DL trigger threshold : 0
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# UDM version: 1.0.0.344
# UDM setting: Logged continuously every 1 minute on the minute,Threshold = 0 mpsas.
# blank line
# UTC Date & Time, Local Date & Time, Temperature, Counts, Frequency, MSAS
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;number;Hz;mag/arcsec^2
# END OF HEADER
2024-06-12T22:02:26.676;2024-06-13T00:02:26.676;;;;
2024-06-12T22:03:15.918;2024-06-13T00:03:15.918;;;;
2024-06-12T22:04:17.367;2024-06-13T00:04:17.367;;;;
2024-06-12T22:05:38.667;2024-06-13T00:05:38.667;;;;
2024-06-12T22:06:39.254;2024-06-13T00:06:39.254;;;;
2024-06-12T22:07:40.366;2024-06-13T00:07:40.366;;;;
2024-06-12T22:08:41.477;2024-06-13T00:08:41.477;;;;
2024-06-12T22:09:42.604;2024-06-13T00:09:42.604;;;;
2024-06-12T22:10:43.239;2024-06-13T00:10:43.239;;;;
2024-06-12T22:11:46.306;2024-06-13T00:11:46.306;;;;
2024-06-12T22:13:07.043;2024-06-13T00:13:07.043;;;;
2024-06-12T22:14:27.747;2024-06-13T00:14:27.747;;;;
2024-06-12T22:15:28.658;2024-06-13T00:15:28.658;;;;
2024-06-12T22:16:29.604;2024-06-13T00:16:29.604;;;;
2024-06-12T22:17:31.197;2024-06-13T00:17:31.197;;;;
2024-06-12T22:18:32.455;2024-06-13T00:18:32.455;;;;
2024-06-12T22:19:33.440;2024-06-13T00:19:33.440;;;;
2024-06-12T22:20:34.451;2024-06-13T00:20:34.451;;;;
2024-06-12T22:21:35.792;2024-06-13T00:21:35.792;;;;
2024-06-12T22:22:36.717;2024-06-13T00:22:36.717;;;;
2024-06-12T22:23:37.702;2024-06-13T00:23:37.702;;;;
2024-06-12T22:24:38.389;2024-06-13T00:24:38.389;;;;
2024-06-12T22:25:39.511;2024-06-13T00:25:39.511;;;;
2024-06-12T22:26:40.562;2024-06-13T00:26:40.562;;;;
2024-06-12T22:27:35.753;2024-06-13T00:27:35.753;;;;
2024-06-12T22:28:36.593;2024-06-13T00:28:36.593;;;;
2024-06-12T22:29:38.456;2024-06-13T00:29:38.456;;;;
2024-06-12T22:30:39.773;2024-06-13T00:30:39.773;;;;
2024-06-12T22:31:40.554;2024-06-13T00:31:40.554;;;;
2024-06-12T22:32:41.863;2024-06-13T00:32:41.863;;;;
2024-06-12T22:33:43.239;2024-06-13T00:33:43.239;;;;
2024-06-12T22:34:44.836;2024-06-13T00:34:44.836;;;;
2024-06-12T22:35:45.731;2024-06-13T00:35:45.731;;;;
2024-06-12T22:36:46.484;2024-06-13T00:36:46.484;;;;
2024-06-12T22:37:47.856;2024-06-13T00:37:47.856;;;;
2024-06-12T22:38:30.104;2024-06-13T00:38:30.104;;;;
2024-06-12T22:39:50.805;2024-06-13T00:39:50.805;;;;
2024-06-12T22:40:51.565;2024-06-13T00:40:51.565;;;;
2024-06-12T22:41:52.660;2024-06-13T00:41:52.660;;;;
2024-06-12T22:42:53.769;2024-06-13T00:42:53.769;;;;
2024-06-12T22:44:14.496;2024-06-13T00:44:14.496;;;;
