# Light Pollution Monitoring Data Format 1.0
# URL: http://www.darksky.org/measurements
# Number of header lines: 42
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LU-DL-R2
# Instrument ID: 
# Data supplier: 
# Location name: Karskov
# Position (lat, lon, elev(m)): 37, 54, 0
# Local timezone: Europe/Copenhagen
# Time Synchronization: EUROPE/BERLIN
# Moving / Stationary position: STATIONARY
# Moving / Fixed look direction: FIXED
# Number of channels: 1
# Filters per channel: 
# Measurement direction per channel: 
# Field of view (degrees): 
# Number of fields per line: 5
# SQM serial number: 7109
# SQM hardware identity: B003BNCX
# SQM firmware version: 4-6-82
# SQM cover offset value: 
# SQM readout test ix (Information): i,00000004,00000006,00000082,00007109
# SQM readout test rx (Reading): r, 06.76m,0000184668Hz,0000000000c,0000000.000s, 019.6C
# SQM readout test cx (Calibration): c,00000019.93m,0000167.535s, 019.3C,00000008.71m, 018.6C
# SQM readout test Ix (Report Interval): 0000000000s,0000000000s,00000000.00m,00000000.00m
# DL time difference (seconds): 4
# DL retrieved at (UTC): 2024-08-18T08:04:09.985
# DL trigger seconds : 0
# DL trigger minutes : 5
# DL trigger threshold : 0
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# UDM version: 1.0.0.344
# UDM setting: DL binary retrieve
# blank line
# UTC Date & Time, Local Date & Time, Temperature, Voltage, MSAS, Record type
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;Volts;mag/arcsec^2;Init/Subs
# END OF HEADER
2024-08-08T00:00:00.000;2024-08-08T02:00:00.000;21.9;4.92;0.00;1
2024-08-08T00:06:00.000;2024-08-08T02:06:00.000;21.9;4.92;0.00;1
2024-08-08T00:12:00.000;2024-08-08T02:12:00.000;21.9;4.92;0.00;1
2024-08-08T00:18:00.000;2024-08-08T02:18:00.000;21.9;4.92;0.00;1
2024-08-08T00:24:00.000;2024-08-08T02:24:00.000;21.9;4.92;0.00;1
2024-08-08T00:30:00.000;2024-08-08T02:30:00.000;21.9;4.92;0.00;1
2024-08-08T00:36:00.000;2024-08-08T02:36:00.000;21.9;4.92;0.00;1
2024-08-08T00:42:00.000;2024-08-08T02:42:00.000;21.9;4.92;0.00;1
2024-08-08T00:48:00.000;2024-08-08T02:48:00.000;21.9;4.92;0.00;1
2024-08-08T00:54:00.000;2024-08-08T02:54:00.000;21.9;4.92;0.00;1
2024-08-08T01:00:00.000;2024-08-08T03:00:00.000;21.9;4.92;0.00;1
2024-08-08T01:06:00.000;2024-08-08T03:06:00.000;21.9;4.92;0.00;1
2024-08-08T01:12:00.000;2024-08-08T03:12:00.000;21.9;4.92;0.00;1
2024-08-08T01:18:00.000;2024-08-08T03:18:00.000;21.9;4.92;0.00;1
2024-08-08T01:24:00.000;2024-08-08T03:24:00.000;21.9;4.92;0.00;1
2024-08-08T01:30:00.000;2024-08-08T03:30:00.000;21.9;4.92;0.00;1
2024-08-08T01:36:00.000;2024-08-08T03:36:00.000;21.9;4.92;0.00;1
2024-08-08T01:41:05.000;2024-08-08T03:41:05.000;21.2;4.92;15.24;1
2024-08-08T01:46:05.000;2024-08-08T03:46:05.000;21.2;4.92;15.36;1
2024-08-08T01:52:00.000;2024-08-08T03:52:00.000;21.9;4.92;0.00;1
2024-08-08T01:58:00.000;2024-08-08T03:58:00.000;21.9;4.92;0.00;1
2024-08-08T02:04:00.000;2024-08-08T04:04:00.000;21.9;4.92;0.00;1
2024-08-08T02:10:00.000;2024-08-08T04:10:00.000;21.9;4.92;23.69;1
2024-08-08T02:15:58.000;2024-08-08T04:15:58.000;21.9;4.92;23.30;1
2024-08-08T02:20:33.000;2024-08-08T04:20:33.000;21.5;4.92;22.69;1
2024-08-08T02:25:17.000;2024-08-08T04:25:17.000;21.5;4.92;22.07;1
2024-08-08T02:30:07.000;2024-08-08T04:30:07.000;21.2;4.92;21.42;1
2024-08-08T02:35:05.000;2024-08-08T04:35:05.000;21.2;4.92;20.73;1
2024-08-08T02:40:05.000;2024-08-08T04:40:05.000;21.2;4.92;20.05;1
2024-08-08T02:45:05.000;2024-08-08T04:45:05.000;21.2;4.92;19.40;1
2024-08-08T02:50:05.000;2024-08-08T04:50:05.000;21.2;4.92;18.74;1
2024-08-08T02:55:05.000;2024-08-08T04:55:05.000;21.2;4.92;18.09;1
2024-08-08T03:00:05.000;2024-08-08T05:00:05.000;21.2;4.92;17.44;1
2024-08-08T03:05:05.000;2024-08-08T05:05:05.000;21.2;4.92;16.76;1
2024-08-08T03:10:05.000;2024-08-08T05:10:05.000;20.9;4.92;16.03;1
2024-08-08T03:15:05.000;2024-08-08T05:15:05.000;20.9;4.92;15.29;1
