# Light Pollution Monitoring Data Format 1.0
# URL: http://www.darksky.org/measurements
# Number of header lines: 42
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LU-DL-R2
# Instrument ID: 
# Data supplier: 
# Location name: Sanne, Almindingen
# Position (lat, lon, elev(m)): 
# Local timezone: Europe/London
# Time Synchronization: 
# Moving / Stationary position: 
# Moving / Fixed look direction: 
# Number of channels: 1
# Filters per channel: 
# Measurement direction per channel: 
# Field of view (degrees): 
# Number of fields per line: 5
# SQM serial number: 7122
# SQM hardware identity: B003BNCD
# SQM firmware version: 4-6-82
# SQM cover offset value: 
# SQM readout test ix (Information): i,00000004,00000006,00000082,00007122
# SQM readout test rx (Reading): r, 13.30m,0000000446Hz,0000000000c,0000000.000s, 026.1C
# SQM readout test cx (Calibration): c,00000019.93m,0000300.000s, 018.6C,00000008.71m, 019.0C
# SQM readout test Ix (Report Interval): 0000000000s,0000000000s,00000000.00m,00000000.00m
# DL time difference (seconds): 1
# DL retrieved at (UTC): 2024-09-02T11:16:26.511
# DL trigger seconds : 0
# DL trigger minutes : 255
# DL trigger threshold : 0
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# UDM version: 1.0.0.344
# UDM setting: DL Retrieve All
# blank line
# UTC Date & Time, Local Date & Time, Temperature, Voltage, MSAS, Record type
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;Volts;mag/arcsec^2;Init/Subs
# END OF HEADER
2024-08-16T06:45:35.000;2024-08-16T07:45:35.000;24.4;5.10;10.67;0
2024-08-16T06:45:35.000;2024-08-16T07:45:35.000;24.8;5.13;10.65;1
2024-08-16T06:50:05.000;2024-08-16T07:50:05.000;24.1;5.10;10.82;1
2024-08-16T07:37:00.000;2024-08-16T08:37:00.000;24.4;5.10;10.92;1
2024-08-16T07:37:49.000;2024-08-16T08:37:49.000;24.4;5.10;10.84;1
2024-08-16T07:40:05.000;2024-08-16T08:40:05.000;24.1;5.10;10.68;1
2024-08-16T07:45:05.000;2024-08-16T08:45:05.000;23.8;5.10;10.34;1
2024-08-16T07:50:05.000;2024-08-16T08:50:05.000;23.8;5.10;10.39;1
2024-08-16T07:55:05.000;2024-08-16T08:55:05.000;23.8;5.10;10.45;1
2024-08-16T08:00:05.000;2024-08-16T09:00:05.000;23.2;5.10;10.31;1
2024-08-16T08:05:45.000;2024-08-16T09:05:45.000;23.8;4.97;8.90;0
2024-08-16T08:10:05.000;2024-08-16T09:10:05.000;23.2;4.97;10.20;1
2024-08-16T08:15:05.000;2024-08-16T09:15:05.000;22.8;4.97;10.41;1
2024-08-16T08:20:05.000;2024-08-16T09:20:05.000;22.5;4.97;10.18;1
2024-08-16T08:25:05.000;2024-08-16T09:25:05.000;22.8;4.97;10.27;1
2024-08-16T08:30:05.000;2024-08-16T09:30:05.000;22.5;4.97;10.24;1
2024-08-16T08:35:05.000;2024-08-16T09:35:05.000;22.5;4.97;10.41;1
