# Light Pollution Monitoring Data Format 1.0
# URL: http://www.darksky.org/measurements
# Number of header lines: 42
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LU-DL-R2
# Instrument ID: 
# Data supplier: 
# Location name: Lise, Nordenbro Mølle
# Position (lat, lon, elev(m)): 
# Local timezone: Europe/London
# Time Synchronization: 
# Moving / Stationary position: 
# Moving / Fixed look direction: 
# Number of channels: 1
# Filters per channel: 
# Measurement direction per channel: 
# Field of view (degrees): 
# Number of fields per line: 5
# SQM serial number: 7110
# SQM hardware identity: B003BND8
# SQM firmware version: 4-6-82
# SQM cover offset value: 
# SQM readout test ix (Information): i,00000004,00000006,00000082,00007110
# SQM readout test rx (Reading): r, 08.79m,0000027623Hz,0000000000c,0000000.000s, 019.3C
# SQM readout test cx (Calibration): c,00000019.89m,0000206.650s, 019.3C,00000008.71m, 019.3C
# SQM readout test Ix (Report Interval): 0000000000s,0000000000s,00000000.00m,00000000.00m
# DL time difference (seconds): 0
# DL retrieved at (UTC): 2024-09-09T12:16:50.067
# DL trigger seconds : 0
# DL trigger minutes : 5
# DL trigger threshold : 0
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# UDM version: 1.0.0.344
# UDM setting: DL binary retrieve
# blank line
# UTC Date & Time, Local Date & Time, Temperature, Voltage, MSAS, Record type
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;Volts;mag/arcsec^2;Init/Subs
# END OF HEADER
2024-09-02T16:19:05.000;2024-09-02T17:19:05.000;23.2;4.96;7.61;0
2024-09-02T16:20:05.000;2024-09-02T17:20:05.000;22.5;4.96;7.00;1
2024-09-02T16:25:05.000;2024-09-02T17:25:05.000;21.5;4.96;0.00;1
2024-09-02T16:30:05.000;2024-09-02T17:30:05.000;20.9;4.96;0.00;1
2024-09-02T16:35:05.000;2024-09-02T17:35:05.000;20.6;4.96;0.00;1
2024-09-02T16:40:05.000;2024-09-02T17:40:05.000;19.9;4.96;0.00;1
2024-09-02T16:45:05.000;2024-09-02T17:45:05.000;19.6;4.96;0.00;1
2024-09-02T16:50:05.000;2024-09-02T17:50:05.000;19.0;4.96;0.00;1
2024-09-02T16:55:05.000;2024-09-02T17:55:05.000;19.0;4.96;0.00;1
2024-09-02T17:00:05.000;2024-09-02T18:00:05.000;18.3;4.96;0.00;1
2024-09-02T17:05:05.000;2024-09-02T18:05:05.000;18.3;4.96;0.00;1
2024-09-02T17:10:05.000;2024-09-02T18:10:05.000;17.7;4.96;0.00;1
2024-09-02T17:15:05.000;2024-09-02T18:15:05.000;17.7;4.96;0.00;1
2024-09-02T17:20:05.000;2024-09-02T18:20:05.000;17.4;4.96;0.00;1
2024-09-02T17:25:05.000;2024-09-02T18:25:05.000;17.0;4.96;0.00;1
2024-09-02T17:30:05.000;2024-09-02T18:30:05.000;16.7;4.96;0.00;1
2024-09-02T17:35:05.000;2024-09-02T18:35:05.000;17.0;4.96;6.02;1
2024-09-02T17:40:05.000;2024-09-02T18:40:05.000;17.0;4.96;6.15;1
2024-09-02T17:45:05.000;2024-09-02T18:45:05.000;16.4;4.96;6.40;1
2024-09-02T17:50:05.000;2024-09-02T18:50:05.000;16.4;4.96;6.65;1
2024-09-02T17:55:05.000;2024-09-02T18:55:05.000;16.1;4.96;6.98;1
2024-09-02T18:00:05.000;2024-09-02T19:00:05.000;16.4;4.96;7.34;1
2024-09-02T18:05:05.000;2024-09-02T19:05:05.000;15.7;4.96;7.74;1
2024-09-02T18:10:05.000;2024-09-02T19:10:05.000;15.7;4.96;8.12;1
2024-09-02T18:15:05.000;2024-09-02T19:15:05.000;15.4;4.96;8.66;1
2024-09-02T18:20:05.000;2024-09-02T19:20:05.000;15.4;4.96;9.29;1
