# Light Pollution Monitoring Data Format 1.0
# URL: http://www.darksky.org/measurements
# Number of header lines: 42
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LU-DL-R2
# Instrument ID: Karskov
# Data supplier: DSL
# Location name: Karskov
# Position (lat, lon, elev(m)): 55.02, 10.86, 7
# Local timezone: CET
# Time Synchronization: EUROPE/COPENHAGEN
# Moving / Stationary position: STATIONARY
# Moving / Fixed look direction: FIXED
# Number of channels: 1
# Filters per channel: 
# Measurement direction per channel: 
# Field of view (degrees): 
# Number of fields per line: 5
# SQM serial number: 7109
# SQM hardware identity: B003BNCX
# SQM firmware version: 4-6-82
# SQM cover offset value: -0.01
# SQM readout test ix (Information): i,00000004,00000006,00000082,00007109
# SQM readout test rx (Reading): r, 11.84m,0000001714Hz,0000000000c,0000000.000s, 016.4C
# SQM readout test cx (Calibration): c,00000019.93m,0000167.535s, 019.3C,00000008.71m, 018.6C
# SQM readout test Ix (Report Interval): 0000000000s,0000000000s,00000000.00m,00000000.00m
# DL time difference (seconds): 0
# DL retrieved at (UTC): 2024-12-21T13:34:36.635
# DL trigger seconds : 0
# DL trigger minutes : 5
# DL trigger threshold : 0
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# UDM version: 1.0.0.344
# UDM setting: DL binary retrieve
# blank line
# UTC Date & Time, Local Date & Time, Temperature, Voltage, MSAS, Record type
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;Volts;mag/arcsec^2;Init/Subs
# END OF HEADER
2024-06-03T11:36:45.000;2024-06-03T13:36:45.000;25.7;5.06;0.00;0
2024-06-03T11:37:50.000;2024-06-03T13:37:50.000;26.1;4.92;0.00;0
2024-06-03T11:38:05.000;2024-06-03T13:38:05.000;25.4;4.92;0.00;1
2024-06-03T12:05:51.000;2024-06-03T14:05:51.000;19.3;5.06;0.00;0
2024-06-03T12:10:05.000;2024-06-03T14:10:05.000;19.3;5.06;0.00;1
2024-06-03T12:15:05.000;2024-06-03T14:15:05.000;20.3;5.06;0.00;1
2024-06-03T12:20:05.000;2024-06-03T14:20:05.000;21.5;5.06;0.00;1
2024-06-03T12:23:01.000;2024-06-03T14:23:01.000;21.9;4.94;0.00;0
2024-06-03T12:24:05.000;2024-06-03T14:24:05.000;21.9;4.92;0.00;1
2024-06-03T12:29:05.000;2024-06-03T14:29:05.000;22.2;4.92;0.00;1
2024-06-03T12:34:05.000;2024-06-03T14:34:05.000;20.6;4.92;9.83;1
2024-06-03T12:39:05.000;2024-06-03T14:39:05.000;20.6;4.92;17.38;1
2024-06-03T12:44:05.000;2024-06-03T14:44:05.000;20.6;4.92;18.10;1
2024-06-03T12:49:05.000;2024-06-03T14:49:05.000;20.6;4.94;19.06;1
2024-06-03T12:54:05.000;2024-06-03T14:54:05.000;20.6;4.92;18.49;1
2024-06-03T12:59:05.000;2024-06-03T14:59:05.000;20.6;4.94;18.81;1
2024-06-03T13:04:05.000;2024-06-03T15:04:05.000;20.3;4.92;19.46;1
2024-06-03T13:09:05.000;2024-06-03T15:09:05.000;20.3;4.92;19.35;1
2024-06-03T13:14:05.000;2024-06-03T15:14:05.000;20.3;4.92;19.45;1
2024-06-03T13:19:05.000;2024-06-03T15:19:05.000;20.3;4.92;19.31;1
2024-06-03T13:24:05.000;2024-06-03T15:24:05.000;19.9;4.92;19.33;1
2024-06-03T13:29:05.000;2024-06-03T15:29:05.000;19.9;4.92;19.39;1
2024-06-03T13:34:05.000;2024-06-03T15:34:05.000;19.9;4.92;19.08;1
2024-06-03T13:39:05.000;2024-06-03T15:39:05.000;19.9;4.92;19.07;1
2024-06-03T13:44:05.000;2024-06-03T15:44:05.000;19.9;4.92;19.23;1
2024-06-03T13:49:05.000;2024-06-03T15:49:05.000;19.9;4.92;18.94;1
2024-06-03T13:54:05.000;2024-06-03T15:54:05.000;19.6;4.92;18.92;1
2024-06-03T13:59:05.000;2024-06-03T15:59:05.000;19.6;4.92;19.14;1
2024-06-03T14:04:05.000;2024-06-03T16:04:05.000;19.6;4.92;19.38;1
2024-06-03T14:09:05.000;2024-06-03T16:09:05.000;19.6;4.92;19.36;1
2024-06-03T14:14:05.000;2024-06-03T16:14:05.000;19.6;4.94;19.63;1
2024-06-03T14:19:05.000;2024-06-03T16:19:05.000;19.6;4.92;19.66;1
2024-06-03T14:24:05.000;2024-06-03T16:24:05.000;19.6;4.92;19.22;1
2024-06-03T14:29:05.000;2024-06-03T16:29:05.000;19.6;4.92;19.57;1
2024-06-03T14:34:05.000;2024-06-03T16:34:05.000;19.6;4.92;20.13;1
2024-06-03T14:39:05.000;2024-06-03T16:39:05.000;19.6;4.92;20.04;1
2024-06-03T14:44:05.000;2024-06-03T16:44:05.000;19.6;4.92;19.19;1
2024-06-03T14:49:05.000;2024-06-03T16:49:05.000;19.3;4.92;10.82;1
2024-06-03T14:54:05.000;2024-06-03T16:54:05.000;19.3;4.94;10.89;1
2024-06-03T14:59:05.000;2024-06-03T16:59:05.000;19.3;4.92;10.70;1
2024-06-03T15:04:05.000;2024-06-03T17:04:05.000;19.0;4.92;10.58;1
2024-06-03T15:09:05.000;2024-06-03T17:09:05.000;19.0;4.92;12.02;1
2024-06-03T15:14:05.000;2024-06-03T17:14:05.000;19.0;4.92;10.40;1
2024-06-03T15:19:05.000;2024-06-03T17:19:05.000;19.0;4.92;10.74;1
2024-06-03T15:24:05.000;2024-06-03T17:24:05.000;19.0;4.92;11.61;1
2024-06-03T15:29:05.000;2024-06-03T17:29:05.000;19.0;4.92;10.88;1
2024-06-03T15:34:05.000;2024-06-03T17:34:05.000;19.0;4.92;11.10;1
2024-06-03T15:39:05.000;2024-06-03T17:39:05.000;19.0;4.92;10.70;1
2024-06-03T15:44:05.000;2024-06-03T17:44:05.000;18.6;4.92;10.44;1
2024-06-03T15:49:05.000;2024-06-03T17:49:05.000;19.0;4.92;10.66;1
2024-06-03T15:54:05.000;2024-06-03T17:54:05.000;19.0;4.92;10.62;1
2024-06-03T15:59:05.000;2024-06-03T17:59:05.000;19.0;4.92;10.78;1
2024-06-03T16:04:05.000;2024-06-03T18:04:05.000;19.0;4.92;10.44;1
2024-06-03T16:09:05.000;2024-06-03T18:09:05.000;18.6;4.92;16.14;1
2024-06-03T16:14:05.000;2024-06-03T18:14:05.000;18.6;4.92;16.52;1
2024-06-03T16:19:05.000;2024-06-03T18:19:05.000;18.6;4.92;12.94;1
2024-06-03T16:24:05.000;2024-06-03T18:24:05.000;18.6;4.92;11.08;1
2024-06-03T16:29:11.000;2024-06-03T18:29:11.000;19.0;4.92;21.77;1
2024-06-03T16:34:05.000;2024-06-03T18:34:05.000;18.6;4.94;19.13;1
2024-06-03T16:39:05.000;2024-06-03T18:39:05.000;18.6;4.92;20.00;1
2024-06-03T16:44:06.000;2024-06-03T18:44:06.000;18.6;4.92;20.62;1
2024-06-03T16:49:05.000;2024-06-03T18:49:05.000;19.0;4.92;19.28;1
2024-06-03T16:54:05.000;2024-06-03T18:54:05.000;19.0;4.92;20.45;1
2024-06-03T16:59:05.000;2024-06-03T18:59:05.000;19.0;4.92;20.12;1
2024-06-03T17:04:05.000;2024-06-03T19:04:05.000;19.0;4.92;20.36;1
2024-06-03T17:09:05.000;2024-06-03T19:09:05.000;19.0;4.92;19.16;1
2024-06-03T17:14:05.000;2024-06-03T19:14:05.000;19.0;4.92;20.21;1
2024-06-03T17:19:05.000;2024-06-03T19:19:05.000;19.0;4.92;19.70;1
2024-06-03T17:24:05.000;2024-06-03T19:24:05.000;19.0;4.94;20.45;1
2024-06-03T17:29:05.000;2024-06-03T19:29:05.000;19.0;4.94;19.75;1
2024-06-03T17:34:05.000;2024-06-03T19:34:05.000;19.3;4.92;19.65;1
2024-06-03T17:39:05.000;2024-06-03T19:39:05.000;19.3;4.92;20.27;1
2024-06-03T17:44:05.000;2024-06-03T19:44:05.000;19.3;4.92;19.86;1
2024-06-03T17:49:05.000;2024-06-03T19:49:05.000;19.3;4.92;19.38;1
2024-06-03T17:54:05.000;2024-06-03T19:54:05.000;19.3;4.92;19.23;1
2024-06-03T17:59:05.000;2024-06-03T19:59:05.000;19.3;4.92;19.83;1
2024-06-03T18:04:05.000;2024-06-03T20:04:05.000;19.3;4.92;19.89;1
2024-06-03T18:09:05.000;2024-06-03T20:09:05.000;19.3;4.92;19.02;1
2024-06-03T18:14:05.000;2024-06-03T20:14:05.000;19.3;4.92;19.90;1
2024-06-03T18:19:05.000;2024-06-03T20:19:05.000;19.3;4.92;20.27;1
2024-06-03T18:24:05.000;2024-06-03T20:24:05.000;19.3;4.92;20.36;1
2024-06-03T18:29:06.000;2024-06-03T20:29:06.000;19.3;4.94;20.59;1
2024-06-03T18:34:05.000;2024-06-03T20:34:05.000;19.3;4.94;20.07;1
2024-06-03T18:39:05.000;2024-06-03T20:39:05.000;19.3;4.94;20.75;1
2024-06-03T18:44:06.000;2024-06-03T20:44:06.000;19.3;4.92;20.88;1
2024-06-03T18:49:07.000;2024-06-03T20:49:07.000;19.3;4.92;20.99;1
2024-06-03T18:54:06.000;2024-06-03T20:54:06.000;19.3;4.92;21.27;1
2024-06-03T18:59:07.000;2024-06-03T20:59:07.000;19.3;4.94;21.37;1
