# Light Pollution Monitoring Data Format 1.0
# URL: http://www.darksky.org/measurements
# Number of header lines: 42
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LU-DL-R2
# Instrument ID: 
# Data supplier: 
# Location name: 
# Position (lat, lon, elev(m)): 
# Local timezone: CET
# Time Synchronization: 
# Moving / Stationary position: 
# Moving / Fixed look direction: 
# Number of channels: 1
# Filters per channel: 
# Measurement direction per channel: 
# Field of view (degrees): 
# Number of fields per line: 5
# SQM serial number: 7111
# SQM hardware identity: B003BNDG
# SQM firmware version: 4-6-82
# SQM cover offset value: 
# SQM readout test ix (Information): i,00000004,00000006,00000082,00007111
# SQM readout test rx (Reading): r, 12.26m,0000001186Hz,0000000000c,0000000.000s, 022.5C
# SQM readout test cx (Calibration): c,00000019.94m,0000145.855s, 018.6C,00000008.71m, 018.3C
# SQM readout test Ix (Report Interval): 0000000000s,0000000000s,00000000.00m,00000000.00m
# DL time difference (seconds): -790879128
# DL retrieved at (UTC): 2025-01-22T16:41:33.623
# DL trigger seconds : 0
# DL trigger minutes : 255
# DL trigger threshold : 0
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# UDM version: 1.0.0.344
# UDM setting: DL binary retrieve
# blank line
# UTC Date & Time, Local Date & Time, Temperature, Voltage, MSAS, Record type
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;Volts;mag/arcsec^2;Init/Subs
# END OF HEADER
2000-01-01T00:00:00.000;2000-01-01T01:00:00.000;16.4;4.64;11.91;0
2000-01-01T00:00:00.000;2000-01-01T01:00:00.000;16.7;4.72;11.94;1
2000-01-01T00:03:59.000;2000-01-01T01:03:59.000;17.4;4.64;12.78;0
2000-01-01T00:06:29.000;2000-01-01T01:06:29.000;17.4;4.72;12.80;0
2000-01-01T00:08:13.000;2000-01-01T01:08:13.000;17.4;4.72;12.75;0
2000-01-01T00:10:31.000;2000-01-01T01:10:31.000;17.7;4.69;12.76;0
2000-01-01T00:10:57.000;2000-01-01T01:10:57.000;17.7;4.64;12.77;1
2000-01-01T00:13:18.000;2000-01-01T01:13:18.000;18.0;4.64;12.80;0
2000-01-01T00:15:47.000;2000-01-01T01:15:47.000;18.0;4.64;12.70;1
2000-01-01T00:17:01.000;2000-01-01T01:17:01.000;-50.0;4.64;0.00;1
2000-01-01T00:18:15.000;2000-01-01T01:18:15.000;18.3;4.64;12.76;1
2000-01-01T00:20:06.000;2000-01-01T01:20:06.000;18.3;4.64;12.76;1
2000-01-01T00:20:43.000;2000-01-01T01:20:43.000;18.3;4.64;12.79;1
2000-01-01T00:23:11.000;2000-01-01T01:23:11.000;18.3;4.64;12.86;1
2000-01-01T00:23:47.000;2000-01-01T01:23:47.000;18.6;4.61;12.89;1
2000-01-01T00:25:01.000;2000-01-01T01:25:01.000;-50.0;4.64;0.00;1
2000-01-01T00:25:38.000;2000-01-01T01:25:38.000;18.6;4.65;12.97;1
2000-01-01T00:26:15.000;2000-01-01T01:26:15.000;18.6;4.64;12.99;1
2000-01-01T00:28:06.000;2000-01-01T01:28:06.000;18.6;4.64;12.76;1
2000-01-01T00:30:34.000;2000-01-01T01:30:34.000;18.6;4.64;11.27;1
2000-01-01T00:31:11.000;2000-01-01T01:31:11.000;18.6;4.65;11.27;1
2000-01-01T00:33:02.000;2000-01-01T01:33:02.000;-50.0;4.64;11.25;1
2000-01-01T00:34:16.000;2000-01-01T01:34:16.000;18.6;4.64;11.27;1
2000-01-01T00:35:31.000;2000-01-01T01:35:31.000;19.0;4.64;11.27;1
2000-01-01T00:36:08.000;2000-01-01T01:36:08.000;19.0;4.64;11.27;1
2000-01-01T00:37:22.000;2000-01-01T01:37:22.000;19.0;4.64;11.28;1
2000-01-01T00:39:13.000;2000-01-01T01:39:13.000;18.6;4.64;11.28;1
2000-01-01T00:40:07.000;2000-01-01T01:40:07.000;19.0;4.63;11.28;1
2000-01-01T00:41:04.000;2000-01-01T01:41:04.000;19.0;4.64;11.28;1
2000-01-01T00:42:18.000;2000-01-01T01:42:18.000;19.0;4.64;11.28;1
2000-01-01T00:44:09.000;2000-01-01T01:44:09.000;19.0;4.64;11.29;1
2000-01-01T00:45:23.000;2000-01-01T01:45:23.000;19.0;4.64;11.30;1
2000-01-01T00:46:00.000;2000-01-01T01:46:00.000;19.0;4.65;11.30;1
2000-01-01T00:47:14.000;2000-01-01T01:47:14.000;19.0;4.64;11.31;1
2000-01-01T00:49:05.000;2000-01-01T01:49:05.000;19.0;4.64;11.33;1
2000-01-01T00:50:56.000;2000-01-01T01:50:56.000;19.0;4.64;11.31;1
2000-01-01T00:52:10.000;2000-01-01T01:52:10.000;19.0;4.64;11.31;1
2000-01-01T00:52:46.000;2000-01-01T01:52:46.000;19.3;4.64;11.31;1
2000-01-01T00:54:00.000;2000-01-01T01:54:00.000;-50.0;4.64;0.00;1
2000-01-01T00:55:14.000;2000-01-01T01:55:14.000;19.0;4.64;11.39;1
2000-01-01T00:55:52.000;2000-01-01T01:55:52.000;19.0;4.64;11.32;1
2000-01-01T00:57:06.000;2000-01-01T01:57:06.000;19.0;4.64;11.31;1
2000-01-01T01:00:11.000;2000-01-01T02:00:11.000;19.0;4.63;11.32;1
2000-01-01T01:00:47.000;2000-01-01T02:00:47.000;19.3;4.64;11.33;1
2000-01-01T01:02:01.000;2000-01-01T02:02:01.000;-50.0;4.64;0.00;1
2000-01-01T01:03:15.000;2000-01-01T02:03:15.000;19.0;4.64;11.31;1
2000-01-01T01:05:06.000;2000-01-01T02:05:06.000;19.0;4.64;11.31;1
2000-01-01T01:05:43.000;2000-01-01T02:05:43.000;19.0;4.64;11.29;1
2000-01-01T01:08:11.000;2000-01-01T02:08:11.000;19.0;4.65;11.29;1
2000-01-01T01:08:47.000;2000-01-01T02:08:47.000;19.0;4.64;11.31;1
2000-01-01T01:10:01.000;2000-01-01T02:10:01.000;-50.0;4.64;0.00;1
2000-01-01T01:10:38.000;2000-01-01T02:10:38.000;19.3;4.64;11.31;1
2000-01-01T01:11:15.000;2000-01-01T02:11:15.000;19.0;4.64;11.31;1
2000-01-01T01:13:06.000;2000-01-01T02:13:06.000;19.0;4.64;11.31;1
2000-01-01T01:15:34.000;2000-01-01T02:15:34.000;19.0;4.64;11.29;1
2000-01-01T01:16:11.000;2000-01-01T02:16:11.000;19.3;4.64;11.29;1
2000-01-01T01:18:02.000;2000-01-01T02:18:02.000;-50.0;4.64;11.30;1
2000-01-01T01:19:16.000;2000-01-01T02:19:16.000;19.0;4.64;11.30;1
2000-01-01T01:20:30.000;2000-01-01T02:20:30.000;19.0;4.64;11.30;1
2000-01-01T01:21:08.000;2000-01-01T02:21:08.000;19.0;4.64;11.28;1
2000-01-01T01:22:22.000;2000-01-01T02:22:22.000;19.0;4.61;11.28;1
2000-01-01T01:24:13.000;2000-01-01T02:24:13.000;19.0;4.64;11.28;1
2000-01-01T01:25:07.000;2000-01-01T02:25:07.000;19.0;4.63;11.30;1
2000-01-01T01:26:04.000;2000-01-01T02:26:04.000;19.0;4.64;11.41;1
2000-01-01T01:27:18.000;2000-01-01T02:27:18.000;19.0;4.64;11.30;1
2000-01-01T01:29:09.000;2000-01-01T02:29:09.000;19.0;4.64;11.30;1
2000-01-01T01:30:23.000;2000-01-01T02:30:23.000;19.0;4.64;11.30;1
2000-01-01T01:31:00.000;2000-01-01T02:31:00.000;19.3;4.64;11.30;1
2000-01-01T01:32:14.000;2000-01-01T02:32:14.000;19.3;4.64;11.30;1
2000-01-01T01:34:05.000;2000-01-01T02:34:05.000;19.0;4.64;11.31;1
2000-01-01T01:35:56.000;2000-01-01T02:35:56.000;19.0;4.64;11.30;1
2000-01-01T01:37:10.000;2000-01-01T02:37:10.000;19.0;4.64;11.31;1
2000-01-01T01:37:46.000;2000-01-01T02:37:46.000;19.3;4.64;11.30;1
2000-01-01T01:39:00.000;2000-01-01T02:39:00.000;-50.0;4.63;0.00;1
2000-01-01T01:40:14.000;2000-01-01T02:40:14.000;19.0;4.64;11.31;1
2000-01-01T01:40:51.000;2000-01-01T02:40:51.000;19.3;4.64;11.31;1
2000-01-01T01:42:06.000;2000-01-01T02:42:06.000;19.0;4.64;11.31;1
2000-01-01T01:45:11.000;2000-01-01T02:45:11.000;19.0;4.64;11.33;1
2000-01-01T01:45:46.000;2000-01-01T02:45:46.000;19.3;4.65;11.33;1
2000-01-01T01:47:01.000;2000-01-01T02:47:01.000;-50.0;4.64;0.00;1
2000-01-01T01:48:15.000;2000-01-01T02:48:15.000;19.0;4.64;11.32;1
2000-01-01T01:50:06.000;2000-01-01T02:50:06.000;19.0;4.64;11.32;1
2000-01-01T01:50:43.000;2000-01-01T02:50:43.000;19.0;4.64;11.33;1
2000-01-01T01:53:11.000;2000-01-01T02:53:11.000;19.0;4.64;11.33;1
2000-01-01T01:53:47.000;2000-01-01T02:53:47.000;19.3;4.64;11.31;1
2000-01-01T01:55:01.000;2000-01-01T02:55:01.000;-50.0;4.65;0.00;1
2000-01-01T01:55:38.000;2000-01-01T02:55:38.000;19.3;4.64;11.33;1
2000-01-01T01:56:15.000;2000-01-01T02:56:15.000;19.3;4.64;11.32;1
2000-01-01T01:58:06.000;2000-01-01T02:58:06.000;19.0;4.64;11.33;1
2000-01-01T02:00:34.000;2000-01-01T03:00:34.000;19.3;4.64;11.33;1
2000-01-01T02:01:11.000;2000-01-01T03:01:11.000;19.3;4.64;11.33;1
2000-01-01T02:03:02.000;2000-01-01T03:03:02.000;-50.0;4.64;11.37;1
2000-01-01T02:04:16.000;2000-01-01T03:04:16.000;19.0;4.64;11.35;1
2000-01-01T02:05:30.000;2000-01-01T03:05:30.000;19.3;4.64;11.35;1
2000-01-01T02:06:07.000;2000-01-01T03:06:07.000;19.3;4.64;11.37;1
2000-01-01T02:07:21.000;2000-01-01T03:07:21.000;19.3;4.64;11.36;1
2000-01-01T02:09:13.000;2000-01-01T03:09:13.000;19.3;4.64;11.36;1
2000-01-01T02:10:27.000;2000-01-01T03:10:27.000;19.0;4.64;11.31;1
2000-01-01T02:11:04.000;2000-01-01T03:11:04.000;19.3;4.64;11.31;1
2000-01-01T02:12:18.000;2000-01-01T03:12:18.000;19.3;4.64;11.33;1
2000-01-01T02:14:09.000;2000-01-01T03:14:09.000;19.0;4.64;11.32;1
2000-01-01T02:15:23.000;2000-01-01T03:15:23.000;19.0;4.64;11.32;1
2000-01-01T02:16:00.000;2000-01-01T03:16:00.000;19.3;4.64;11.32;1
2000-01-01T02:17:14.000;2000-01-01T03:17:14.000;19.0;4.64;11.32;1
2000-01-01T02:19:05.000;2000-01-01T03:19:05.000;19.0;4.64;11.32;1
2000-01-01T02:20:56.000;2000-01-01T03:20:56.000;19.0;4.64;11.32;1
2000-01-01T02:22:10.000;2000-01-01T03:22:10.000;19.0;4.64;11.32;1
2000-01-01T02:22:46.000;2000-01-01T03:22:46.000;19.3;4.64;11.32;1
2000-01-01T02:24:00.000;2000-01-01T03:24:00.000;-50.0;4.64;0.00;1
2000-01-01T02:25:14.000;2000-01-01T03:25:14.000;19.0;4.64;11.33;1
2000-01-01T02:25:52.000;2000-01-01T03:25:52.000;19.3;4.64;11.33;1
2000-01-01T02:27:06.000;2000-01-01T03:27:06.000;19.3;4.64;11.30;1
2000-01-01T02:30:11.000;2000-01-01T03:30:11.000;19.0;4.64;11.31;1
2000-01-01T02:30:47.000;2000-01-01T03:30:47.000;19.0;4.64;11.31;1
2000-01-01T02:32:01.000;2000-01-01T03:32:01.000;-50.0;4.64;0.00;1
2000-01-01T02:33:15.000;2000-01-01T03:33:15.000;19.3;4.64;11.31;1
2000-01-01T02:35:06.000;2000-01-01T03:35:06.000;19.0;4.64;11.31;1
2000-01-01T02:35:43.000;2000-01-01T03:35:43.000;19.0;4.64;11.31;1
2000-01-01T02:38:11.000;2000-01-01T03:38:11.000;19.0;4.64;11.33;1
2000-01-01T02:38:47.000;2000-01-01T03:38:47.000;19.3;4.64;11.33;1
2000-01-01T02:40:01.000;2000-01-01T03:40:01.000;-50.0;4.64;0.00;1
2000-01-01T02:40:38.000;2000-01-01T03:40:38.000;19.0;4.64;11.32;1
2000-01-01T02:41:15.000;2000-01-01T03:41:15.000;19.3;4.64;11.33;1
2000-01-01T02:43:06.000;2000-01-01T03:43:06.000;19.3;4.64;11.34;1
2000-01-01T02:45:34.000;2000-01-01T03:45:34.000;19.0;4.64;11.34;1
2000-01-01T02:46:11.000;2000-01-01T03:46:11.000;19.3;4.64;11.35;1
2000-01-01T02:48:02.000;2000-01-01T03:48:02.000;-50.0;4.64;11.35;1
2000-01-01T02:49:16.000;2000-01-01T03:49:16.000;19.0;4.64;11.34;1
2000-01-01T02:50:30.000;2000-01-01T03:50:30.000;19.3;4.64;11.34;1
2000-01-01T02:51:07.000;2000-01-01T03:51:07.000;19.3;4.64;11.34;1
2000-01-01T02:52:22.000;2000-01-01T03:52:22.000;19.3;4.64;11.35;1
2000-01-01T02:54:13.000;2000-01-01T03:54:13.000;19.3;4.64;11.35;1
2000-01-01T02:55:27.000;2000-01-01T03:55:27.000;19.0;4.64;11.35;1
2000-01-01T02:56:04.000;2000-01-01T03:56:04.000;19.3;4.64;11.35;1
2000-01-01T02:57:18.000;2000-01-01T03:57:18.000;19.3;4.64;11.35;1
2000-01-01T02:59:09.000;2000-01-01T03:59:09.000;19.0;4.65;11.34;1
2000-01-01T03:00:23.000;2000-01-01T04:00:23.000;19.3;4.64;11.36;1
2000-01-01T03:01:00.000;2000-01-01T04:01:00.000;19.3;4.65;11.35;1
