# Light Pollution Monitoring Data Format 1.0
# URL: http://www.darksky.org/measurements
# Number of header lines: 43
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LU-DL-R2
# Instrument ID: Vindeby
# Data supplier: DSL
# Location name: Bruce, Vindeby
# Position (lat, lon, elev(m)): 
# Local timezone: CET
# Time Synchronization: 
# Moving / Stationary position: 
# Moving / Fixed look direction: 
# Number of channels: 1
# Filters per channel: 
# Measurement direction per channel: 
# Field of view (degrees): 
# Number of fields per line: 5
# SQM serial number: 7116
# SQM hardware identity: 003BNDH
# SQM firmware version: 4-6-82
# SQM cover offset value: 
# SQM readout test ix (Information): i,00000004,00000006,00000082,00007116
# SQM readout test rx (Reading): r, 09.26m,0000018202Hz,0000000000c,0000000.000s, 014.8C
# SQM readout test cx (Calibration): c,00000019.91m,0000300.000s, 018.3C,00000008.71m, 017.7C
# SQM readout test Ix (Report Interval): 0000000000s,0000000000s,00000000.00m,00000000.00m
# DL time difference (seconds): 45
# DL retrieved at (UTC): 2025-03-08T15:37:05.103
# DL trigger mode : Every x minutes (power save mode)
# DL trigger seconds : 0
# DL trigger minutes : 5
# DL trigger threshold : 0
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# UDM version: 1.0.0.358
# UDM setting: DL binary retrieve
# blank line
# UTC Date & Time, Local Date & Time, Temperature, Voltage, MSAS, Record type
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;Volts;mag/arcsec^2;Init/Subs
# END OF HEADER
2024-09-02T16:48:07.000;2024-09-02T18:48:07.000;21.2;4.86;8.20;0
2024-09-02T16:50:05.000;2024-09-02T18:50:05.000;21.2;4.86;0.00;1
2024-09-02T16:55:05.000;2024-09-02T18:55:05.000;21.5;4.86;0.00;1
2024-09-02T17:00:05.000;2024-09-02T19:00:05.000;21.2;4.86;0.00;1
2024-09-02T17:05:05.000;2024-09-02T19:05:05.000;20.9;4.86;0.00;1
2024-09-02T17:10:05.000;2024-09-02T19:10:05.000;20.6;4.86;0.00;1
2024-09-02T17:15:05.000;2024-09-02T19:15:05.000;19.9;4.86;0.00;1
2024-09-02T17:20:05.000;2024-09-02T19:20:05.000;19.3;4.86;0.00;1
2024-09-02T17:25:05.000;2024-09-02T19:25:05.000;18.6;4.86;0.00;1
2024-09-02T17:30:05.000;2024-09-02T19:30:05.000;18.0;4.86;5.94;1
2024-09-02T17:35:05.000;2024-09-02T19:35:05.000;17.7;4.86;6.04;1
2024-09-02T17:40:05.000;2024-09-02T19:40:05.000;17.7;4.86;6.22;1
2024-09-02T17:45:05.000;2024-09-02T19:45:05.000;17.0;4.86;6.44;1
2024-09-02T17:50:05.000;2024-09-02T19:50:05.000;16.4;4.86;6.70;1
2024-09-02T17:55:05.000;2024-09-02T19:55:05.000;16.4;4.86;7.01;1
2024-09-02T18:00:05.000;2024-09-02T20:00:05.000;16.1;4.86;7.37;1
2024-09-02T18:05:05.000;2024-09-02T20:05:05.000;16.1;4.86;7.65;1
2024-09-02T18:10:05.000;2024-09-02T20:10:05.000;15.7;4.86;8.04;1
