# Light Pollution Monitoring Data Format 1.0
# URL: http://www.darksky.org/measurements
# Number of header lines: 43
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LU-DL-R2
# Instrument ID: Vindeby
# Data supplier: DSL
# Location name: Bruce, Vindeby
# Position (lat, lon, elev(m)): 
# Local timezone: CET
# Time Synchronization: 
# Moving / Stationary position: 
# Moving / Fixed look direction: 
# Number of channels: 1
# Filters per channel: 
# Measurement direction per channel: 
# Field of view (degrees): 
# Number of fields per line: 5
# SQM serial number: 7116
# SQM hardware identity: 003BNDH
# SQM firmware version: 4-6-82
# SQM cover offset value: 
# SQM readout test ix (Information): i,00000004,00000006,00000082,00007116
# SQM readout test rx (Reading): r, 10.36m,0000006623Hz,0000000000c,0000000.000s, 017.4C
# SQM readout test cx (Calibration): c,00000019.91m,0000300.000s, 018.3C,00000008.71m, 017.7C
# SQM readout test Ix (Report Interval): 0000000000s,0000000000s,00000000.00m,00000000.00m
# DL time difference (seconds): 44
# DL retrieved at (UTC): 2025-03-08T15:45:18.029
# DL trigger mode : Every x minutes (power save mode)
# DL trigger seconds : 0
# DL trigger minutes : 5
# DL trigger threshold : 0
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# UDM version: 1.0.0.358
# UDM setting: DL Retrieve All
# blank line
# UTC Date & Time, Local Date & Time, Temperature, Voltage, MSAS, Record type
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;Volts;mag/arcsec^2;Init/Subs
# END OF HEADER
2025-01-23T01:28:10.000;2025-01-23T02:28:10.000;-0.4;4.86;21.48;1
2025-01-23T01:33:10.000;2025-01-23T02:33:10.000;-0.4;4.85;21.51;1
2025-01-23T01:38:10.000;2025-01-23T02:38:10.000;0.1;4.85;21.51;1
2025-01-23T01:43:09.000;2025-01-23T02:43:09.000;-0.4;4.85;21.42;1
2025-01-23T01:48:07.000;2025-01-23T02:48:07.000;0.3;4.85;21.29;1
2025-01-23T01:53:08.000;2025-01-23T02:53:08.000;0.3;4.85;21.30;1
2025-01-23T01:58:07.000;2025-01-23T02:58:07.000;0.3;4.85;21.27;1
2025-01-23T02:03:07.000;2025-01-23T03:03:07.000;0.3;4.85;21.19;1
2025-01-23T02:08:06.000;2025-01-23T03:08:06.000;0.6;4.85;21.18;1
2025-01-23T02:13:06.000;2025-01-23T03:13:06.000;0.3;4.85;21.09;1
2025-01-23T02:18:06.000;2025-01-23T03:18:06.000;0.6;4.86;21.16;1
2025-01-23T02:23:06.000;2025-01-23T03:23:06.000;0.6;4.86;21.13;1
2025-01-23T02:28:06.000;2025-01-23T03:28:06.000;0.3;4.85;21.14;1
2025-01-23T02:33:06.000;2025-01-23T03:33:06.000;0.6;4.85;21.15;1
2025-01-23T02:38:06.000;2025-01-23T03:38:06.000;0.6;4.86;21.08;1
2025-01-23T02:43:06.000;2025-01-23T03:43:06.000;0.3;4.85;21.17;1
2025-01-23T02:48:06.000;2025-01-23T03:48:06.000;0.3;4.85;21.20;1
2025-01-23T02:53:06.000;2025-01-23T03:53:06.000;0.3;4.85;21.20;1
2025-01-23T02:58:06.000;2025-01-23T03:58:06.000;0.3;4.85;21.13;1
2025-01-23T03:03:08.000;2025-01-23T04:03:08.000;0.3;4.85;21.03;1
2025-01-23T03:08:08.000;2025-01-23T04:08:08.000;0.3;4.85;21.00;1
2025-01-23T03:13:05.000;2025-01-23T04:13:05.000;0.3;4.85;21.04;1
2025-01-23T03:18:05.000;2025-01-23T04:18:05.000;0.3;4.85;21.06;1
2025-01-23T03:23:05.000;2025-01-23T04:23:05.000;0.3;4.85;21.02;1
2025-01-23T03:28:05.000;2025-01-23T04:28:05.000;0.3;4.85;21.07;1
2025-01-23T03:33:08.000;2025-01-23T04:33:08.000;0.3;4.86;21.00;1
