# Light Pollution Monitoring Data Format 1.0
# URL: http://www.darksky.org/measurements
# Number of header lines: 43
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LU-DL-R2
# Instrument ID: Gulstav
# Data supplier: Piet
# Location name: Gulstav
# Position (lat, lon, elev(m)): 54.724675, 10.694059, 0
# Local timezone: CET
# Time Synchronization: 
# Moving / Stationary position: STATIONARY
# Moving / Fixed look direction: FIXED
# Number of channels: 1
# Filters per channel: 
# Measurement direction per channel: 
# Field of view (degrees): 
# Number of fields per line: 5
# SQM serial number: 6851
# SQM hardware identity: 001XNU8
# SQM firmware version: 4-6-84
# SQM cover offset value: 
# SQM readout test ix (Information): i,00000004,00000006,00000084,00006851
# SQM readout test rx (Reading): r, 13.06m,0000000558Hz,0000000000c,0000000.000s, 007.0C
# SQM readout test cx (Calibration): c,00000019.92m,0000259.242s, 021.2C,00000008.71m, 021.2C
# SQM readout test Ix (Report Interval): 0000000000s,0000000000s,00000000.00m,00000000.00m
# DL time difference (seconds): 2
# DL retrieved at (UTC): 2025-03-08T17:12:08.493
# DL trigger mode : Every x minutes (power save mode)
# DL trigger seconds : 0
# DL trigger minutes : 5
# DL trigger threshold : 6
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# UDM version: 1.0.0.358
# UDM setting: DL binary retrieve
# blank line
# UTC Date & Time, Local Date & Time, Temperature, Voltage, MSAS, Record type
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;Volts;mag/arcsec^2;Init/Subs
# END OF HEADER
2025-02-02T13:16:03.000;2025-02-02T14:16:03.000;19.9;5.09;7.13;1
2025-02-02T13:18:43.000;2025-02-02T14:18:43.000;19.9;4.95;14.37;0
2025-02-02T13:19:05.000;2025-02-02T14:19:05.000;19.6;4.95;12.23;1
2025-02-02T13:26:47.000;2025-02-02T14:26:47.000;19.9;5.09;7.58;0
2025-02-02T13:27:19.000;2025-02-02T14:27:19.000;19.9;4.95;11.49;0
2025-02-02T13:28:05.000;2025-02-02T14:28:05.000;19.6;4.95;12.59;1
2025-02-02T13:33:05.000;2025-02-02T14:33:05.000;19.9;4.95;17.56;1
2025-02-02T13:38:05.000;2025-02-02T14:38:05.000;19.9;4.95;19.75;1
2025-02-02T13:43:05.000;2025-02-02T14:43:05.000;19.6;4.95;17.62;1
2025-02-02T13:48:05.000;2025-02-02T14:48:05.000;19.3;4.95;16.85;1
2025-02-02T13:53:05.000;2025-02-02T14:53:05.000;19.0;4.95;16.70;1
2025-02-02T13:58:05.000;2025-02-02T14:58:05.000;18.3;4.95;16.91;1
2025-02-02T14:03:05.000;2025-02-02T15:03:05.000;18.0;4.95;16.97;1
2025-02-02T14:08:05.000;2025-02-02T15:08:05.000;17.4;4.95;19.65;1
2025-02-02T14:13:05.000;2025-02-02T15:13:05.000;16.7;4.95;20.17;1
2025-02-02T14:18:05.000;2025-02-02T15:18:05.000;16.4;4.95;19.85;1
2025-02-02T14:23:05.000;2025-02-02T15:23:05.000;16.1;4.95;19.86;1
2025-02-02T14:28:30.000;2025-02-02T15:28:30.000;16.1;4.95;22.56;1
2025-02-02T14:33:06.000;2025-02-02T15:33:06.000;15.7;4.95;20.51;1
2025-02-02T14:38:05.000;2025-02-02T15:38:05.000;15.4;4.95;20.48;1
2025-02-02T14:43:16.000;2025-02-02T15:43:16.000;15.4;4.95;22.15;1
2025-02-02T14:48:18.000;2025-02-02T15:48:18.000;15.4;4.95;22.27;1
2025-02-02T14:53:36.000;2025-02-02T15:53:36.000;15.4;4.95;22.91;1
2025-02-02T14:58:44.000;2025-02-02T15:58:44.000;15.4;4.95;22.96;1
2025-02-02T15:03:17.000;2025-02-02T16:03:17.000;15.1;4.95;22.28;1
2025-02-02T15:08:12.000;2025-02-02T16:08:12.000;15.1;4.95;22.05;1
2025-02-02T15:13:27.000;2025-02-02T16:13:27.000;15.1;4.95;22.65;1
2025-02-02T15:19:00.000;2025-02-02T16:19:00.000;15.4;4.95;23.53;1
2025-02-02T15:25:00.000;2025-02-02T16:25:00.000;15.4;4.95;23.81;1
2025-02-02T15:31:00.000;2025-02-02T16:31:00.000;15.4;4.95;23.81;1
2025-02-02T15:37:00.000;2025-02-02T16:37:00.000;15.7;4.95;23.81;1
2025-02-02T15:43:00.000;2025-02-02T16:43:00.000;15.7;4.95;23.81;1
2025-02-02T15:49:00.000;2025-02-02T16:49:00.000;15.7;4.95;23.81;1
2025-02-02T15:55:00.000;2025-02-02T16:55:00.000;15.7;4.95;23.81;1
2025-02-02T16:00:07.000;2025-02-02T17:00:07.000;15.4;4.95;20.80;1
2025-02-02T16:05:08.000;2025-02-02T17:05:08.000;14.8;4.95;21.31;1
2025-02-02T16:16:05.000;2025-02-02T17:16:05.000;13.8;4.95;20.61;1
2025-02-02T16:21:05.000;2025-02-02T17:21:05.000;13.8;4.95;20.71;1
2025-02-02T16:26:07.000;2025-02-02T17:26:07.000;13.8;4.95;20.90;1
2025-02-02T16:31:07.000;2025-02-02T17:31:07.000;14.1;4.95;20.84;1
2025-02-02T16:36:22.000;2025-02-02T17:36:22.000;14.5;4.95;22.53;1
2025-02-02T16:41:23.000;2025-02-02T17:41:23.000;14.5;4.95;22.56;1
