# Light Pollution Monitoring Data Format 1.0
# URL: http://www.darksky.org/measurements
# Number of header lines: 43
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LU-DL-R2
# Instrument ID: DSL
# Data supplier: Nordenbro mølle
# Location name: Lise, Nordenbro Mølle
# Position (lat, lon, elev(m)): 
# Local timezone: CET
# Time Synchronization: 
# Moving / Stationary position: 
# Moving / Fixed look direction: 
# Number of channels: 1
# Filters per channel: 
# Measurement direction per channel: 
# Field of view (degrees): 
# Number of fields per line: 5
# SQM serial number: 7110
# SQM hardware identity: 003BND8
# SQM firmware version: 4-6-82
# SQM cover offset value: 
# SQM readout test ix (Information): i,00000004,00000006,00000082,00007110
# SQM readout test rx (Reading): r, 13.49m,0000000362Hz,0000000000c,0000000.000s, 015.4C
# SQM readout test cx (Calibration): c,00000019.89m,0000206.650s, 019.3C,00000008.71m, 019.3C
# SQM readout test Ix (Report Interval): 0000000000s,0000000000s,00000000.00m,00000000.00m
# DL time difference (seconds): 19
# DL retrieved at (UTC): 2025-03-08T16:44:29.221
# DL trigger mode : Every x minutes (power save mode)
# DL trigger seconds : 0
# DL trigger minutes : 5
# DL trigger threshold : 0
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# UDM version: 1.0.0.358
# UDM setting: DL Retrieve All
# blank line
# UTC Date & Time, Local Date & Time, Temperature, Voltage, MSAS, Record type
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;Volts;mag/arcsec^2;Init/Subs
# END OF HEADER
2025-02-01T10:07:05.000;2025-02-01T11:07:05.000;6.1;4.95;0.00;1
2025-02-01T10:12:05.000;2025-02-01T11:12:05.000;6.4;4.95;0.00;1
2025-02-01T10:17:05.000;2025-02-01T11:17:05.000;6.1;4.96;0.00;1
2025-02-01T10:22:05.000;2025-02-01T11:22:05.000;5.8;4.96;0.00;1
2025-02-01T10:27:05.000;2025-02-01T11:27:05.000;6.1;4.95;0.00;1
2025-02-01T10:32:05.000;2025-02-01T11:32:05.000;6.7;4.96;0.00;1
2025-02-01T10:37:05.000;2025-02-01T11:37:05.000;6.4;4.95;0.00;1
2025-02-01T10:42:05.000;2025-02-01T11:42:05.000;6.7;4.95;0.00;1
2025-02-01T10:47:05.000;2025-02-01T11:47:05.000;7.4;4.95;0.00;1
2025-02-01T10:52:05.000;2025-02-01T11:52:05.000;7.4;4.95;0.00;1
2025-02-01T10:57:05.000;2025-02-01T11:57:05.000;7.4;4.95;0.00;1
2025-02-01T11:02:05.000;2025-02-01T12:02:05.000;7.4;4.95;0.00;1
2025-02-01T11:07:05.000;2025-02-01T12:07:05.000;7.4;4.96;0.00;1
2025-02-01T11:12:05.000;2025-02-01T12:12:05.000;7.0;4.96;0.00;1
2025-02-01T11:17:05.000;2025-02-01T12:17:05.000;7.0;4.95;0.00;1
2025-02-01T11:22:05.000;2025-02-01T12:22:05.000;7.4;4.96;0.00;1
2025-02-01T11:27:05.000;2025-02-01T12:27:05.000;7.4;4.95;0.00;1
2025-02-01T11:32:05.000;2025-02-01T12:32:05.000;7.4;4.96;0.00;1
2025-02-01T11:37:05.000;2025-02-01T12:37:05.000;7.4;4.95;0.00;1
2025-02-01T11:42:05.000;2025-02-01T12:42:05.000;7.4;4.95;0.00;1
2025-02-01T11:47:05.000;2025-02-01T12:47:05.000;7.4;4.95;0.00;1
2025-02-01T11:52:05.000;2025-02-01T12:52:05.000;7.7;4.95;0.00;1
2025-02-01T11:57:05.000;2025-02-01T12:57:05.000;8.3;4.95;0.00;1
2025-02-01T12:02:05.000;2025-02-01T13:02:05.000;9.0;4.95;0.00;1
2025-02-01T12:07:05.000;2025-02-01T13:07:05.000;10.6;4.95;0.00;1
2025-02-01T12:12:05.000;2025-02-01T13:12:05.000;11.2;4.95;0.00;1
2025-02-01T12:17:05.000;2025-02-01T13:17:05.000;11.9;4.95;0.00;1
2025-02-01T12:22:05.000;2025-02-01T13:22:05.000;11.6;4.95;0.00;1
2025-02-01T12:27:05.000;2025-02-01T13:27:05.000;10.6;4.95;0.00;1
2025-02-01T12:32:05.000;2025-02-01T13:32:05.000;9.6;4.95;0.00;1
2025-02-01T12:37:05.000;2025-02-01T13:37:05.000;9.0;4.95;0.00;1
2025-02-01T12:42:05.000;2025-02-01T13:42:05.000;8.7;4.95;0.00;1
2025-02-01T12:47:05.000;2025-02-01T13:47:05.000;8.0;4.95;0.00;1
2025-02-01T12:52:05.000;2025-02-01T13:52:05.000;7.7;4.95;0.00;1
2025-02-01T12:57:05.000;2025-02-01T13:57:05.000;7.4;4.96;0.00;1
2025-02-01T13:02:05.000;2025-02-01T14:02:05.000;7.0;4.95;0.00;1
2025-02-01T13:07:05.000;2025-02-01T14:07:05.000;6.7;4.95;0.00;1
2025-02-01T13:12:05.000;2025-02-01T14:12:05.000;6.1;4.96;0.00;1
2025-02-01T13:17:05.000;2025-02-01T14:17:05.000;6.1;4.96;0.00;1
2025-02-01T13:22:05.000;2025-02-01T14:22:05.000;6.1;4.95;0.00;1
2025-02-01T13:27:05.000;2025-02-01T14:27:05.000;5.8;4.96;0.00;1
2025-02-01T13:32:05.000;2025-02-01T14:32:05.000;6.1;4.95;0.00;1
2025-02-01T13:37:05.000;2025-02-01T14:37:05.000;5.8;4.95;0.00;1
2025-02-01T13:42:05.000;2025-02-01T14:42:05.000;5.8;4.95;0.00;1
2025-02-01T13:47:05.000;2025-02-01T14:47:05.000;5.4;4.95;0.00;1
2025-02-01T13:52:05.000;2025-02-01T14:52:05.000;5.1;4.96;0.00;1
2025-02-01T13:57:05.000;2025-02-01T14:57:05.000;5.1;4.95;0.00;1
2025-02-01T14:02:05.000;2025-02-01T15:02:05.000;4.8;4.95;0.00;1
2025-02-01T14:07:05.000;2025-02-01T15:07:05.000;4.8;4.96;0.00;1
2025-02-01T14:12:05.000;2025-02-01T15:12:05.000;4.5;4.95;0.00;1
2025-02-01T14:17:05.000;2025-02-01T15:17:05.000;4.8;4.96;0.00;1
2025-02-01T14:22:05.000;2025-02-01T15:22:05.000;4.8;4.95;0.00;1
2025-02-01T14:27:05.000;2025-02-01T15:27:05.000;4.1;4.96;0.00;1
2025-02-01T14:32:05.000;2025-02-01T15:32:05.000;4.5;4.96;0.00;1
2025-02-01T14:37:05.000;2025-02-01T15:37:05.000;4.1;4.95;0.00;1
2025-02-01T14:42:05.000;2025-02-01T15:42:05.000;4.1;4.95;0.00;1
2025-02-01T14:47:05.000;2025-02-01T15:47:05.000;3.5;4.96;0.00;1
2025-02-01T14:52:05.000;2025-02-01T15:52:05.000;3.5;4.95;0.00;1
2025-02-01T14:57:05.000;2025-02-01T15:57:05.000;3.2;4.95;0.00;1
2025-02-01T15:02:05.000;2025-02-01T16:02:05.000;3.2;4.95;0.00;1
2025-02-01T15:07:05.000;2025-02-01T16:07:05.000;3.5;4.95;0.00;1
2025-02-01T15:12:05.000;2025-02-01T16:12:05.000;2.9;4.95;0.00;1
2025-02-01T15:17:05.000;2025-02-01T16:17:05.000;2.9;4.96;0.00;1
2025-02-01T15:22:05.000;2025-02-01T16:22:05.000;2.5;4.95;0.00;1
2025-02-01T15:27:05.000;2025-02-01T16:27:05.000;2.2;4.96;0.00;1
2025-02-01T15:32:05.000;2025-02-01T16:32:05.000;1.9;4.95;6.15;1
2025-02-01T15:37:05.000;2025-02-01T16:37:05.000;1.9;4.95;6.41;1
2025-02-01T15:42:05.000;2025-02-01T16:42:05.000;1.9;4.96;6.65;1
2025-02-01T15:47:05.000;2025-02-01T16:47:05.000;1.2;4.95;6.91;1
2025-02-01T15:52:05.000;2025-02-01T16:52:05.000;0.9;4.95;7.23;1
2025-02-01T15:57:05.000;2025-02-01T16:57:05.000;0.6;4.95;7.60;1
2025-02-01T16:02:05.000;2025-02-01T17:02:05.000;0.6;4.96;8.08;1
2025-02-01T16:07:05.000;2025-02-01T17:07:05.000;0.3;4.95;8.63;1
2025-02-01T16:12:05.000;2025-02-01T17:12:05.000;-0.4;4.95;9.28;1
2025-02-01T16:17:05.000;2025-02-01T17:17:05.000;-0.4;4.95;10.02;1
2025-02-01T16:22:05.000;2025-02-01T17:22:05.000;-0.4;4.95;10.83;1
2025-02-01T16:27:05.000;2025-02-01T17:27:05.000;-0.4;4.95;11.71;1
2025-02-01T16:32:05.000;2025-02-01T17:32:05.000;-0.7;4.95;12.63;1
2025-02-01T16:37:05.000;2025-02-01T17:37:05.000;-1.0;4.95;13.56;1
2025-02-01T16:42:05.000;2025-02-01T17:42:05.000;-1.0;4.95;14.47;1
2025-02-01T16:47:05.000;2025-02-01T17:47:05.000;-1.3;4.95;15.32;1
2025-02-01T16:52:05.000;2025-02-01T17:52:05.000;-1.3;4.95;16.07;1
2025-02-01T16:57:05.000;2025-02-01T17:57:05.000;-1.3;4.95;16.78;1
2025-02-01T17:02:05.000;2025-02-01T18:02:05.000;-1.3;4.95;17.44;1
2025-02-01T17:07:05.000;2025-02-01T18:07:05.000;-1.3;4.96;17.92;1
2025-02-01T17:12:05.000;2025-02-01T18:12:05.000;-1.0;4.95;18.58;1
2025-02-01T17:17:05.000;2025-02-01T18:17:05.000;-1.0;4.95;19.08;1
2025-02-01T17:22:05.000;2025-02-01T18:22:05.000;-0.7;4.95;19.68;1
2025-02-01T17:27:05.000;2025-02-01T18:27:05.000;-0.7;4.95;20.09;1
2025-02-01T17:32:06.000;2025-02-01T18:32:06.000;-0.4;4.95;20.39;1
2025-02-01T17:37:06.000;2025-02-01T18:37:06.000;-0.4;4.95;20.72;1
2025-02-01T17:42:06.000;2025-02-01T18:42:06.000;0.1;4.96;20.72;1
2025-02-01T17:47:06.000;2025-02-01T18:47:06.000;0.1;4.95;20.71;1
2025-02-01T17:52:06.000;2025-02-01T18:52:06.000;0.3;4.95;20.75;1
2025-02-01T17:57:07.000;2025-02-01T18:57:07.000;0.3;4.95;20.78;1
2025-02-01T18:02:05.000;2025-02-01T19:02:05.000;0.6;4.95;20.87;1
2025-02-01T18:07:05.000;2025-02-01T19:07:05.000;0.9;4.95;20.85;1
2025-02-01T18:12:07.000;2025-02-01T19:12:07.000;0.9;4.95;20.81;1
2025-02-01T18:17:07.000;2025-02-01T19:17:07.000;0.9;4.95;20.78;1
2025-02-01T18:22:06.000;2025-02-01T19:22:06.000;1.2;4.95;20.73;1
2025-02-01T18:27:05.000;2025-02-01T19:27:05.000;1.2;4.95;20.37;1
2025-02-01T18:32:05.000;2025-02-01T19:32:05.000;1.2;4.95;20.20;1
2025-02-01T18:37:05.000;2025-02-01T19:37:05.000;1.6;4.95;20.46;1
2025-02-01T18:42:05.000;2025-02-01T19:42:05.000;1.6;4.96;20.24;1
2025-02-01T18:47:05.000;2025-02-01T19:47:05.000;1.9;4.95;20.18;1
2025-02-01T18:52:05.000;2025-02-01T19:52:05.000;1.9;4.95;20.22;1
2025-02-01T18:57:05.000;2025-02-01T19:57:05.000;1.9;4.95;20.21;1
2025-02-01T19:02:05.000;2025-02-01T20:02:05.000;1.9;4.95;20.38;1
2025-02-01T19:07:05.000;2025-02-01T20:07:05.000;1.9;4.96;20.28;1
2025-02-01T19:12:05.000;2025-02-01T20:12:05.000;1.9;4.95;20.58;1
2025-02-01T19:17:05.000;2025-02-01T20:17:05.000;1.9;4.96;20.57;1
2025-02-01T19:22:05.000;2025-02-01T20:22:05.000;1.9;4.95;20.36;1
2025-02-01T19:27:06.000;2025-02-01T20:27:06.000;1.9;4.95;20.66;1
2025-02-01T19:32:07.000;2025-02-01T20:32:07.000;1.9;4.96;20.73;1
2025-02-01T19:37:07.000;2025-02-01T20:37:07.000;1.9;4.95;20.78;1
2025-02-01T19:42:05.000;2025-02-01T20:42:05.000;1.9;4.95;20.51;1
2025-02-01T19:47:06.000;2025-02-01T20:47:06.000;1.9;4.95;20.57;1
2025-02-01T19:52:07.000;2025-02-01T20:52:07.000;1.9;4.96;20.80;1
2025-02-01T19:57:06.000;2025-02-01T20:57:06.000;1.9;4.95;20.91;1
