# Light Pollution Monitoring Data Format 1.0
# URL: http://www.darksky.org/measurements
# Number of header lines: 43
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LU-DL-R2
# Instrument ID: 
# Data supplier: DSL
# Location name: Skovsgård
# Position (lat, lon, elev(m)): 
# Local timezone: CET
# Time Synchronization: 
# Moving / Stationary position: 
# Moving / Fixed look direction: 
# Number of channels: 1
# Filters per channel: 
# Measurement direction per channel: 
# Field of view (degrees): 
# Number of fields per line: 5
# SQM serial number: 7115
# SQM hardware identity: 003BNDC
# SQM firmware version: 4-6-82
# SQM cover offset value: 
# SQM readout test ix (Information): i,00000004,00000006,00000082,00007115
# SQM readout test rx (Reading): r, 11.73m,0000001883Hz,0000000000c,0000000.000s, 022.5C
# SQM readout test cx (Calibration): c,00000019.91m,0000274.655s, 018.6C,00000008.71m, 018.6C
# SQM readout test Ix (Report Interval): 0000000000s,0000000000s,00000000.00m,00000000.00m
# DL time difference (seconds): 26
# DL retrieved at (UTC): 2025-06-22T15:40:13.253
# DL trigger mode : Every x minutes (power save mode)
# DL trigger seconds : 0
# DL trigger minutes : 5
# DL trigger threshold : 0
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# UDM version: 1.0.0.358
# UDM setting: DL Retrieve All
# blank line
# UTC Date & Time, Local Date & Time, Temperature, Voltage, MSAS, Record type
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;Volts;mag/arcsec^2;Init/Subs
# END OF HEADER
2025-01-15T03:12:05.000;2025-01-15T04:12:05.000;0.9;4.96;17.95;1
2025-01-15T03:17:05.000;2025-01-15T04:17:05.000;0.9;4.96;18.00;1
2025-01-15T03:22:05.000;2025-01-15T04:22:05.000;0.9;4.95;18.05;1
2025-01-15T03:27:05.000;2025-01-15T04:27:05.000;0.9;4.96;18.07;1
2025-01-15T03:32:05.000;2025-01-15T04:32:05.000;0.9;4.96;18.09;1
2025-01-15T03:37:05.000;2025-01-15T04:37:05.000;0.6;4.96;18.13;1
2025-01-15T03:42:05.000;2025-01-15T04:42:05.000;0.6;4.96;18.14;1
2025-01-15T03:47:05.000;2025-01-15T04:47:05.000;0.9;4.96;18.15;1
2025-01-15T03:52:05.000;2025-01-15T04:52:05.000;0.9;4.96;18.19;1
2025-01-15T03:57:05.000;2025-01-15T04:57:05.000;0.9;4.96;17.97;1
2025-01-15T04:02:05.000;2025-01-15T05:02:05.000;0.9;4.96;17.82;1
2025-01-15T04:07:05.000;2025-01-15T05:07:05.000;0.9;4.95;17.67;1
2025-01-15T04:12:05.000;2025-01-15T05:12:05.000;0.9;4.96;17.38;1
2025-01-15T04:17:05.000;2025-01-15T05:17:05.000;0.9;4.95;17.46;1
2025-01-15T04:22:05.000;2025-01-15T05:22:05.000;0.9;4.95;17.83;1
2025-01-15T04:27:05.000;2025-01-15T05:27:05.000;0.9;4.96;17.84;1
2025-01-15T04:32:05.000;2025-01-15T05:32:05.000;0.9;4.95;18.08;1
2025-01-15T04:37:05.000;2025-01-15T05:37:05.000;0.9;4.95;17.54;1
